1	MARY	2.63%	8,536,305
2	PATRICIA	1.07%	3,484,007
3	LINDA	1.04%	3,360,622
4	BARBARA	0.98%	3,182,038
5	ELIZABETH	0.94%	3,042,418
6	JENNIFER	0.93%	3,026,183
7	MARIA	0.83%	2,688,498
8	SUSAN	0.79%	2,578,100
9	MARGARET	0.77%	2,493,679
10	DOROTHY	0.73%	2,360,553
11	LISA	0.70%	2,285,872
12	NANCY	0.67%	2,172,228
13	KAREN	0.67%	2,165,734
14	BETTY	0.67%	2,162,487
15	HELEN	0.66%	2,152,746
16	SANDRA	0.63%	2,042,349
17	DONNA	0.58%	1,892,988
18	CAROL	0.57%	1,834,543
19	RUTH	0.56%	1,824,802
20	SHARON	0.52%	1,694,922
21	MICHELLE	0.52%	1,685,182
22	LAURA	0.51%	1,655,959
23	SARAH	0.51%	1,649,465
24	KIMBERLY	0.50%	1,636,477
25	DEBORAH	0.49%	1,604,007
26	JESSICA	0.49%	1,591,019
27	SHIRLEY	0.48%	1,565,043
28	CYNTHIA	0.47%	1,522,833
29	ANGELA	0.47%	1,519,586
30	MELISSA	0.46%	1,500,104
31	BRENDA	0.46%	1,477,375
32	AMY	0.45%	1,464,387
33	ANNA	0.44%	1,428,670
34	REBECCA	0.43%	1,396,201
35	VIRGINIA	0.43%	1,396,201
36	KATHLEEN	0.42%	1,376,719
37	PAMELA	0.42%	1,350,743
38	MARTHA	0.41%	1,337,755
39	DEBRA	0.41%	1,324,767
40	AMANDA	0.40%	1,311,779
41	STEPHANIE	0.40%	1,298,791
42	CAROLYN	0.39%	1,250,087
43	CHRISTINE	0.38%	1,240,346
44	MARIE	0.38%	1,230,605
45	JANET	0.38%	1,230,605
46	CATHERINE	0.37%	1,211,123
47	FRANCES	0.37%	1,201,382
48	ANN	0.36%	1,181,900
49	JOYCE	0.36%	1,181,900
50	DIANE	0.36%	1,165,665
51	ALICE	0.36%	1,159,171
52	JULIE	0.35%	1,129,948
53	HEATHER	0.34%	1,094,232
54	TERESA	0.34%	1,090,985
55	DORIS	0.34%	1,087,738
56	GLORIA	0.34%	1,087,738
57	EVELYN	0.32%	1,045,527
58	JEAN	0.32%	1,022,798
59	CHERYL	0.32%	1,022,798
60	MILDRED	0.31%	1,016,304
61	KATHERINE	0.31%	1,016,304
62	JOAN	0.31%	993,575
63	ASHLEY	0.30%	983,834
64	JUDITH	0.30%	964,352
65	ROSE	0.30%	961,105
66	JANICE	0.29%	925,389
67	KELLY	0.28%	918,895
68	NICOLE	0.28%	912,401
69	JUDY	0.28%	896,166
70	CHRISTINA	0.28%	892,919
71	KATHY	0.27%	883,178
72	THERESA	0.27%	879,931
73	BEVERLY	0.27%	866,943
74	DENISE	0.26%	857,202
75	TAMMY	0.26%	840,967
76	IRENE	0.25%	818,238
77	JANE	0.25%	811,744
78	LORI	0.25%	805,251
79	RACHEL	0.24%	785,769
80	MARILYN	0.24%	782,522
81	ANDREA	0.24%	766,287
82	KATHRYN	0.23%	759,793
83	LOUISE	0.23%	743,558
84	SARA	0.23%	743,558
85	ANNE	0.23%	740,311
86	JACQUELINE	0.23%	740,311
87	WANDA	0.23%	733,817
88	BONNIE	0.22%	724,076
89	JULIA	0.22%	724,076
