1	JAMES	3.32%	10,773,473	MARY	2.63%	8,536,305
2	JOHN	3.27%	10,620,865	PATRICIA	1.07%	3,484,007
3	ROBERT	3.14%	10,205,252	LINDA	1.04%	3,360,622
4	MICHAEL	2.63%	8,536,305	BARBARA	0.98%	3,182,038
5	WILLIAM	2.45%	7,958,343	ELIZABETH	0.94%	3,042,418
6	DAVID	2.36%	7,672,609	JENNIFER	0.93%	3,026,183
7	RICHARD	1.70%	5,529,603	MARIA	0.83%	2,688,498
8	CHARLES	1.52%	4,945,147	SUSAN	0.79%	2,578,100
9	JOSEPH	1.40%	4,558,757	MARGARET	0.77%	2,493,679
10	THOMAS	1.38%	4,480,830	DOROTHY	0.73%	2,360,553
11	CHRISTOPHER	1.04%	3,360,622	LISA	0.70%	2,285,872
12	DANIEL	0.97%	3,162,557	NANCY	0.67%	2,172,228
13	PAUL	0.95%	3,078,135	KAREN	0.67%	2,165,734
14	MARK	0.94%	3,045,665	BETTY	0.67%	2,162,487
15	DONALD	0.93%	3,022,936	HELEN	0.66%	2,152,746
16	GEORGE	0.93%	3,009,949	SANDRA	0.63%	2,042,349
17	KENNETH	0.83%	2,682,004	DONNA	0.58%	1,892,988
18	STEVEN	0.78%	2,532,643	CAROL	0.57%	1,834,543
19	EDWARD	0.78%	2,529,396	RUTH	0.56%	1,824,802
20	BRIAN	0.74%	2,389,776	SHARON	0.52%	1,694,922
21	RONALD	0.73%	2,354,059	MICHELLE	0.52%	1,685,182
22	ANTHONY	0.72%	2,341,071	LAURA	0.51%	1,655,959
23	KEVIN	0.67%	2,178,722	SARAH	0.51%	1,649,465
24	JASON	0.66%	2,143,005	KIMBERLY	0.50%	1,636,477
25	MATTHEW	0.66%	2,133,265	DEBORAH	0.49%	1,604,007
26	GARY	0.65%	2,110,536	JESSICA	0.49%	1,591,019
27	TIMOTHY	0.64%	2,078,066	SHIRLEY	0.48%	1,565,043
28	JOSE	0.61%	1,990,397	CYNTHIA	0.47%	1,522,833
29	LARRY	0.60%	1,941,693	ANGELA	0.47%	1,519,586
30	JEFFREY	0.59%	1,918,964	MELISSA	0.46%	1,500,104
31	FRANK	0.58%	1,886,494	BRENDA	0.46%	1,477,375
32	SCOTT	0.55%	1,772,850	AMY	0.45%	1,464,387
33	ERIC	0.54%	1,766,356	ANNA	0.44%	1,428,670
34	STEPHEN	0.54%	1,753,368	REBECCA	0.43%	1,396,201
35	ANDREW	0.54%	1,743,627	VIRGINIA	0.43%	1,396,201
36	RAYMOND	0.49%	1,584,525	KATHLEEN	0.42%	1,376,719
37	GREGORY	0.44%	1,431,917	PAMELA	0.42%	1,350,743
38	JOSHUA	0.44%	1,412,435	MARTHA	0.41%	1,337,755
39	JERRY	0.43%	1,402,694	DEBRA	0.41%	1,324,767
40	DENNIS	0.42%	1,347,496	AMANDA	0.40%	1,311,779
41	WALTER	0.40%	1,295,544	STEPHANIE	0.40%	1,298,791
42	PATRICK	0.39%	1,263,074	CAROLYN	0.39%	1,250,087
43	PETER	0.38%	1,237,099	CHRISTINE	0.38%	1,240,346
44	HAROLD	0.37%	1,204,629	MARIE	0.38%	1,230,605
45	DOUGLAS	0.37%	1,191,641	JANET	0.38%	1,230,605
46	HENRY	0.37%	1,185,147	CATHERINE	0.37%	1,211,123
47	CARL	0.35%	1,123,454	FRANCES	0.37%	1,201,382
48	ARTHUR	0.34%	1,087,738	ANN	0.36%	1,181,900
49	RYAN	0.33%	1,065,009	JOYCE	0.36%	1,181,900
50	ROGER	0.32%	1,045,527	DIANE	0.36%	1,165,665
51	JOE	0.32%	1,042,280	ALICE	0.36%	1,159,171
52	JUAN	0.32%	1,026,045	JULIE	0.35%	1,129,948
53	JACK	0.32%	1,022,798	HEATHER	0.34%	1,094,232
