GARCIA	1,166,120	1,073,180	92.03%	1	6
RODRIGUEZ	1,094,924	1,026,710	93.77%	2	9
HERNANDEZ	1,043,281	989,969	94.89%	3	11
MARTINEZ	1,060,159	984,994	92.91%	4	10
LOPEZ	874,523	812,607	92.92%	5	12
GONZALEZ	841,025	798,721	94.97%	6	13
PEREZ	681,645	633,589	92.95%	7	22
SANCHEZ	612,752	569,798	92.99%	8	26
RAMIREZ	557,423	526,653	94.48%	9	28
TORRES	437,813	403,488	92.16%	10	37
FLORES	433,969	398,991	91.94%	11	40
RIVERA	391,114	356,148	91.06%	12	46
GOMEZ	365,655	338,597	92.60%	13	51
DIAZ	347,636	321,772	92.56%	14	55
CRUZ	334,201	293,696	87.88%	15	57
MORALES	311,777	290,670	93.23%	16	63
REYES	327,904	290,457	88.58%	17	60
GUTIERREZ	293,218	273,660	93.33%	18	67
ORTIZ	286,899	267,132	93.11%	19	68
CHAVEZ	250,898	233,235	92.96%	20	83
RAMOS	263,464	228,660	86.79%	21	76
RUIZ	238,234	221,296	92.89%	22	89
MENDOZA	242,771	218,421	89.97%	23	88
ALVAREZ	233,983	216,317	92.45%	24	92
JIMENEZ	227,118	213,423	93.97%	25	100
CASTILLO	230,420	207,977	90.26%	26	93
VASQUEZ	212,781	198,248	93.17%	27	113
ROMERO	208,614	184,623	88.50%	28	115
MORENO	196,925	181,624	92.23%	29	124
GONZALES	214,758	180,526	84.06%	30	111
HERRERA	192,711	179,279	93.03%	31	129
AGUILAR	186,512	174,053	93.32%	32	134
MEDINA	188,497	171,834	91.16%	33	133
VARGAS	173,835	161,527	92.92%	34	148
CASTRO	184,134	160,970	87.42%	35	138
GUZMAN	167,044	156,637	93.77%	36	154
MENDEZ	161,717	151,739	93.83%	37	162
FERNANDEZ	180,842	151,148	83.58%	38	142
MUNOZ	158,483	148,150	93.48%	39	168
SALAZAR	152,703	139,952	91.65%	40	179
GARZA	147,005	135,965	92.49%	41	186
SOTO	144,451	134,989	93.45%	42	191
VAZQUEZ	138,322	132,443	95.75%	43	203
ALVARADO	133,501	126,052	94.42%	44	219
CONTRERAS	130,164	123,187	94.64%	45	229
DELGADO	132,985	122,971	92.47%	46	221
PENA	130,776	120,968	92.50%	47	227
RIOS	127,794	119,628	93.61%	48	237
GUERRERO	128,677	118,730	92.27%	49	234
SANDOVAL	128,948	118,542	91.93%	50	233
ORTEGA	127,256	118,488	93.11%	51	239
ESTRADA	127,470	118,369	92.86%	52	238
NUNEZ	125,350	116,225	92.72%	53	242
MALDONADO	121,526	113,882	93.71%	54	249
DOMINGUEZ	119,304	111,060	93.09%	55	254
VALDEZ	124,995	110,821	88.66%	56	244
VEGA	116,673	108,133	92.68%	57	261
SANTIAGO	122,212	107,620	88.06%	58	248
ESPINOZA	112,154	106,445	94.91%	59	271
ROJAS	108,421	102,414	94.46%	60	285
SILVA	161,633	99,146	61.34%	61	163
MEJIA	104,057	98,344	94.51%	62	300
MARQUEZ	107,533	97,532	90.70%	63	287
JUAREZ	101,949	97,524	95.66%	64	306
PADILLA	105,365	94,997	90.16%	65	293
LUNA	104,518	92,791	88.78%	66	298
ACOSTA	103,418	92,538	89.48%	67	302
FIGUEROA	98,468	91,398	92.82%	68	316
CORTEZ	101,694	91,169	89.65%	69	310
AVILA	97,314	88,517	90.96%	70	318
NAVARRO	99,807	87,970	88.14%	71	315
MOLINA	96,979	87,591	90.32%	72	320
AYALA	92,463	87,146	94.25%	73	333
CAMPOS	96,111	87,000	90.52%	74	323
SANTOS	137,232	85,358	62.20%	75	206
CARRILLO	91,129	85,051	93.33%	76	340
CERVANTES	82,161	78,308	95.31%	77	387
DURAN	89,401	77,877	87.11%	78	349
LARA	83,067	76,654	92.28%	79	381
CABRERA	83,621	76,112	91.02%	80	376
SOLIS	82,146	75,928	92.43%	81	388
MIRANDA	93,628	75,811	80.97%	82	330
ROBLES	82,458	75,680	91.78%	83	386
FUENTES	81,006	75,530	93.24%	84	394
SALINAS	81,156	75,378	92.88%	85	393
VELASQUEZ	80,364	74,112	92.22%	86	398
OCHOA	78,677	74,027	94.09%	87	408
AGUIRRE	79,517	73,903	92.94%	88	401
LEON	86,363	73,590	85.21%	89	363
CARDENAS	77,652	72,760	93.70%	90	418
DELEON	87,414	72,606	83.06%	91	359
RIVAS	76,205	71,381	93.67%	92	426
CALDERON	77,085	71,342	92.55%	93	421
ROSALES	75,185	70,080	93.21%	94	431
SERRANO	75,996	68,655	90.34%	95	429
CASTANEDA	71,368	66,672	93.42%	96	464
TRUJILLO	73,664	65,664	89.14%	97	448
MONTOYA	71,844	63,539	88.44%	98	459
PACHECO	77,642	63,224	81.43%	99	419
OROZCO	65,904	63,110	95.76%	100	512
IBARRA	66,063	62,971	95.32%	101	507
VALENCIA	70,000	62,461	89.23%	102	475
GALLEGOS	68,373	62,144	90.89%	103	486
VELAZQUEZ	63,736	61,155	95.95%	104	530
CAMACHO	67,893	60,805	89.56%	105	493
GUERRA	70,071	60,674	86.59%	106	473
COLON	67,338	60,436	89.75%	107	497
ESCOBAR	64,403	59,534	92.44%	108	520
SUAREZ	66,013	59,491	90.12%	109	510
SALAS	65,468	59,065	90.22%	110	513
SMITH	2,442,977	58,631	2.40%	111	1
MACIAS	62,227	58,580	94.14%	112	538
VILLARREAL	61,355	56,968	92.85%	113	547
BARRERA	60,998	56,838	93.18%	114	550
FRANCO	69,943	56,654	81.00%	115	476
ZAMORA	61,729	56,303	91.21%	116	540
DELACRUZ	72,109	55,697	77.24%	117	458
SANTANA	60,667	55,565	91.59%	118	556
ROMAN	72,918	55,177	75.67%	119	452
PINEDA	60,820	55,145	90.67%	120	553
TREVINO	59,882	54,529	91.06%	121	562
RANGEL	57,549	53,532	93.02%	122	578
ARIAS	57,477	53,494	93.07%	123	581
LOZANO	57,779	53,001	91.73%	124	577
ZUNIGA	56,347	52,921	93.92%	125	600
MERCADO	60,761	52,589	86.55%	126	555
MELENDEZ	56,230	52,339	93.08%	127	603
MORA	57,464	52,057	90.59%	128	583
VALENZUELA	57,383	51,851	90.36%	129	584
ANDRADE	65,037	50,852	78.19%	130	516
MEZA	53,230	50,851	95.53%	131	639
VILLANUEVA	61,883	50,602	81.77%	132	539
GALVAN	53,822	49,656	92.26%	133	630
TAPIA	52,651	49,250	93.54%	134	647
ZAVALA	51,153	49,173	96.13%	135	667
SOSA	52,457	48,948	93.31%	136	650
VELEZ	53,265	48,487	91.03%	137	638
CISNEROS	50,920	48,237	94.73%	138	670
BENITEZ	51,288	48,139	93.86%	139	666
ACEVEDO	51,351	48,034	93.54%	140	665
BONILLA	51,475	47,990	93.23%	141	664
ARROYO	50,614	47,228	93.31%	142	678
VILLA	52,817	46,870	88.74%	143	644
RUBIO	50,788	46,745	92.04%	144	673
BAUTISTA	60,264	46,283	76.80%	145	558
ARELLANO	50,104	46,156	92.12%	146	687
JOHNSON	1,932,812	45,614	2.36%	147	2
PONCE	49,549	45,531	91.89%	148	695
HUERTA	47,455	45,305	95.47%	149	735
BELTRAN	49,776	45,221	90.85%	150	692
ROCHA	55,251	44,798	81.08%	151	613
VILLEGAS	48,599	44,653	91.88%	152	716
CANTU	49,126	44,651	90.89%	153	704
MONTES	48,142	44,570	92.58%	154	723
BARAJAS	45,153	43,555	96.46%	155	763
MATA	48,120	43,496	90.39%	156	724
MURILLO	45,558	42,752	93.84%	157	757
ROSAS	44,938	42,727	95.08%	158	765
CORTES	46,229	42,716	92.40%	159	751
GUEVARA	46,454	42,691	91.90%	160	746
SALGADO	45,469	42,677	93.86%	161	759
ROSARIO	48,051	41,814	87.02%	162	725
PALACIOS	43,798	41,192	94.05%	163	789
DAVILA	44,388	40,815	91.95%	164	774
WILLIAMS	1,625,252	40,469	2.49%	165	3
ESPARZA	42,559	40,078	94.17%	166	816
CUEVAS	43,701	39,436	90.24%	167	790
CORDOVA	45,305	39,193	86.51%	168	762
MARTIN	702,625	39,066	5.56%	169	20
TREJO	41,021	39,023	95.13%	170	843
QUINTERO	41,158	38,726	94.09%	171	839
MARIN	43,904	38,012	86.58%	172	784
BRAVO	41,700	37,780	90.60%	173	828
CORONA	41,553	37,514	90.28%	174	832
MEDRANO	40,261	37,435	92.98%	175	858
NAVA	39,670	37,195	93.76%	176	874
MAGANA	39,105	37,111	94.90%	177	888
DEJESUS	44,038	36,957	83.92%	178	783
BROWN	1,437,026	36,213	2.52%	179	4
PORTILLO	37,890	35,905	94.76%	180	914
VILLALOBOS	37,754	35,806	94.84%	181	919
ENRIQUEZ	41,271	35,704	86.51%	182	837
ESQUIVEL	37,578	35,571	94.66%	183	925
AVALOS	36,922	35,382	95.83%	184	940
BERNAL	39,693	35,144	88.54%	185	873
LUGO	37,903	34,571	91.21%	186	913
DUARTE	42,983	34,382	79.99%	187	808
CANO	37,368	34,106	91.27%	188	931
PARRA	36,765	33,930	92.29%	189	943
ESPINOSA	38,667	33,892	87.65%	190	896
GALINDO	36,429	33,751	92.65%	191	954
DELAROSA	37,932	33,703	88.85%	192	910
QUINTANA	37,657	33,534	89.05%	193	923
ALFARO	35,725	33,317	93.26%	194	975
JARAMILLO	36,755	33,182	90.28%	195	945
LUCERO	39,986	32,952	82.41%	196	865
CORREA	38,232	32,646	85.39%	197	905
JONES	1,425,470	32,643	2.29%	198	5
REYNA	35,291	32,619	92.43%	199	987
SIERRA	35,770	32,393	90.56%	200	973
NIEVES	34,896	32,202	92.28%	201	1,004
SALDANA	34,434	32,061	93.11%	202	1,015
QUINONES	34,468	31,545	91.52%	203	1,014
PERALTA	36,585	31,474	86.03%	204	949
BECERRA	33,274	31,391	94.34%	205	1,051
AMAYA	33,218	31,275	94.15%	206	1,057
SAENZ	33,787	30,922	91.52%	207	1,029
TOVAR	32,760	30,919	94.38%	208	1,070
VERA	33,674	30,650	91.02%	209	1,031
LEAL	35,958	30,528	84.90%	210	969
CARDONA	32,727	30,034	91.77%	211	1,071
AGUILERA	31,581	29,866	94.57%	212	1,109
ZAPATA	32,274	29,782	92.28%	213	1,082
BAEZ	31,298	29,523	94.33%	214	1,121
VENTURA	39,580	29,475	74.47%	215	877
BARRIOS	32,873	29,434	89.54%	216	1,067
CASTELLANOS	30,859	29,325	95.03%	217	1,138
CARRASCO	31,575	29,245	92.62%	218	1,110
SAUCEDO	30,374	28,995	95.46%	219	1,157
GALLARDO	31,909	28,791	90.23%	220	1,096
HURTADO	30,286	28,439	93.90%	221	1,160
GUILLEN	30,153	28,232	93.63%	222	1,166
ALONSO	30,389	27,927	91.90%	223	1,155
OSORIO	29,482	27,781	94.23%	224	1,199
MUNIZ	30,695	27,754	90.42%	225	1,147
ZEPEDA	29,252	27,748	94.86%	226	1,209
ESCOBEDO	29,185	27,694	94.89%	227	1,211
ARREDONDO	29,173	27,528	94.36%	228	1,212
SEGURA	30,880	27,499	89.05%	229	1,136
VALLE	31,716	27,393	86.37%	230	1,104
MORAN	88,615	27,302	30.81%	231	353
DAVIS	1,116,357	27,239	2.44%	232	8
VELASCO	33,078	27,213	82.27%	233	1,061
CARRANZA	28,581	27,043	94.62%	234	1,235
FELIX	40,165	26,625	66.29%	235	863
RENTERIA	27,976	26,572	94.98%	236	1,256
BLANCO	31,800	26,311	82.74%	237	1,099
OLVERA	27,551	26,195	95.08%	238	1,275
CORDERO	30,158	25,854	85.73%	239	1,164
QUIROZ	27,452	25,843	94.14%	240	1,280
LEMUS	27,079	25,823	95.36%	241	1,297
CABALLERO	28,903	25,796	89.25%	242	1,224
CHACON	27,982	25,732	91.96%	243	1,255
CORONADO	27,626	25,571	92.56%	244	1,274
ORELLANA	26,651	25,489	95.64%	245	1,319
MADRIGAL	27,033	25,327	93.69%	246	1,299
DELATORRE	27,265	25,250	92.61%	247	1,288
MILLER	1,161,437	25,203	2.17%	248	7
GRANADOS	26,187	24,927	95.19%	249	1,347
PAREDES	27,274	24,896	91.28%	250	1,287
QUEZADA	25,752	24,797	96.29%	251	1,372
CARMONA	26,774	24,600	91.88%	252	1,310
LEYVA	26,153	24,552	93.88%	253	1,351
HINOJOSA	26,146	24,517	93.77%	254	1,352
ROSADO	26,998	24,503	90.76%	255	1,301
VIGIL	29,382	24,120	82.09%	256	1,205
VARELA	26,621	24,071	90.42%	257	1,321
YANEZ	25,563	24,032	94.01%	258	1,385
BERMUDEZ	26,691	24,009	89.95%	259	1,316
ROMO	26,283	23,873	90.83%	260	1,343
AVILES	25,716	23,733	92.29%	261	1,375
MONTANO	27,276	23,561	86.38%	262	1,286
NIETO	25,701	23,211	90.31%	263	1,376
VELA	25,414	23,150	91.09%	264	1,396
URIBE	24,612	23,138	94.01%	265	1,448
SERNA	25,503	23,075	90.48%	266	1,390
GAMEZ	24,256	23,000	94.82%	267	1,472
NAVARRETE	24,259	22,983	94.74%	268	1,471
RICO	25,954	22,917	88.30%	269	1,359
OLIVARES	23,982	22,692	94.62%	270	1,490
GIL	26,112	22,673	86.83%	271	1,353
PAZ	25,574	22,664	88.62%	272	1,384
BACA	28,082	22,595	80.46%	273	1,249
BURGOS	25,169	22,489	89.35%	274	1,411
CANALES	24,384	22,350	91.66%	275	1,462
ANAYA	24,017	22,216	92.50%	276	1,488
BARRAGAN	23,176	22,168	95.65%	277	1,551
BARRON	52,070	22,140	42.52%	278	656
MADRID	25,854	22,090	85.44%	279	1,364
BENAVIDES	23,761	22,055	92.82%	280	1,508
AREVALO	23,895	22,055	92.30%	281	1,499
SOLANO	24,881	21,863	87.87%	282	1,430
REYNOSO	23,143	21,819	94.28%	283	1,554
ROSA	33,521	21,775	64.96%	284	1,035
BUSTAMANTE	24,536	21,717	88.51%	285	1,454
ARAGON	25,801	21,557	83.55%	286	1,367
MONTALVO	23,454	21,392	91.21%	287	1,531
