SMITH	2,442,977	21,742	0.89%	1	1
JOHNSON	1,932,812	18,168	0.94%	2	2
BEGAY	17,553	16,472	93.84%	3	2,053
LOCKLEAR	19,716	14,373	72.90%	4	1,819
JONES	1,425,470	14,255	1.00%	5	5
YAZZIE	14,949	14,136	94.56%	6	2,424
WILLIAMS	1,625,252	13,327	0.82%	7	3
BROWN	1,437,026	12,502	0.87%	8	4
DAVIS	1,116,357	9,154	0.82%	9	8
WILSON	801,882	8,500	1.06%	10	14
THOMPSON	664,644	8,109	1.22%	11	23
THOMAS	756,142	8,091	1.07%	12	16
MILLER	1,161,437	7,665	0.66%	13	7
JACKSON	708,099	7,506	1.06%	14	19
WHITE	660,491	7,067	1.07%	15	24
MARTIN	702,625	6,886	0.98%	16	20
LEE	693,023	6,722	0.97%	17	21
HUNT	158,421	6,701	4.23%	18	169
JAMES	249,379	6,434	2.58%	19	85
LEWIS	531,781	6,381	1.20%	20	29
ANDERSON	784,404	5,805	0.74%	21	15
TAYLOR	751,209	5,709	0.76%	22	17
CLARK	562,679	5,683	1.01%	23	27
GARCIA	1,166,120	5,481	0.47%	24	6
MARTINEZ	1,060,159	5,407	0.51%	25	10
BENALLY	5,562	5,245	94.30%	26	6,155
SCOTT	439,530	5,186	1.18%	27	36
TSOSIE	5,255	4,992	95.00%	28	6,465
NELSON	424,958	4,930	1.16%	29	43
MOORE	724,374	4,926	0.68%	30	18
KING	465,422	4,561	0.98%	31	34
WALKER	523,129	4,551	0.87%	32	31
OXENDINE	7,139	4,546	63.68%	33	4,930
JACOBS	118,614	4,448	3.75%	34	257
NEZ	4,827	4,447	92.13%	35	6,948
HILL	434,827	4,218	0.97%	36	39
HARRIS	624,252	4,182	0.67%	37	25
ALLEN	482,607	4,150	0.86%	38	33
MITCHELL	384,486	3,999	1.04%	39	48
YOUNG	484,447	3,827	0.79%	40	32
JOHN	33,543	3,747	11.17%	41	1,034
PHILLIPS	360,802	3,716	1.03%	42	52
BAKER	419,586	3,650	0.87%	43	44
MORGAN	286,280	3,550	1.24%	44	69
CHAVIS	14,844	3,536	23.82%	45	2,442
ADAMS	427,865	3,380	0.79%	46	42
LOPEZ	874,523	3,323	0.38%	47	12
ROBERTS	376,774	3,203	0.85%	48	50
HENRY	170,964	3,197	1.87%	49	149
WRIGHT	458,980	3,167	0.69%	50	35
JOE	9,280	3,136	33.79%	51	3,819
MORRIS	318,884	3,125	0.98%	52	62
LONG	229,374	3,028	1.32%	53	97
PARKER	336,221	2,959	0.88%	54	56
CARTER	376,966	2,940	0.78%	55	49
REED	277,030	2,909	1.05%	56	73
GEORGE	128,625	2,881	2.24%	57	235
RICHARDSON	259,798	2,858	1.10%	58	80
ROBINSON	529,821	2,808	0.53%	59	30
COOK	302,589	2,784	0.92%	60	65
GREEN	430,182	2,753	0.64%	61	41
CAMPBELL	386,157	2,742	0.71%	62	47
HALL	407,076	2,646	0.65%	63	45
EVANS	355,593	2,631	0.74%	64	53
EDWARDS	332,423	2,560	0.77%	65	58
CHEE	4,973	2,556	51.40%	66	6,784
COLLINS	329,770	2,539	0.77%	67	59
HARRISON	181,091	2,517	1.39%	68	141
STEWART	324,957	2,502	0.77%	69	61
ROGERS	302,261	2,479	0.82%	70	66
STEVENS	185,674	2,469	1.33%	71	135
JIM	3,544	2,423	68.37%	72	9,203
WARD	260,464	2,370	0.91%	73	79
